,City,Distances,Data,Name,Website,State,Latitude,Longitude
54,Moulton,"50K, 25K, 5 Miler",2/15/2020,Black Warrior,http://www.blackwarrior50k.com/,AL,34.2971,-87.2713
55,Guntersville,"50K, 1/2 Marathon, 5K",2/15/2020,Eagle Ridge,http://www.runninglane.com/runs/eagleridge,AL,34.3953,-86.205
56,Winder,"2 Per Relay, 3 Per Relay, 50K, 21K, 5 Miler",2/15/2020,Thrill In The Hills,http://www.dirtyspokes.com/thrill-in-the-hills/,GA,33.9695,-83.7308
57,Delta,50K,2/29/2020,Mount Cheaha 50K,http://www.pinhotitrailseries.com,AL,33.4818,-85.8085
58,Lumpkin,"50K, 1/2 Marathon, 10K, 5K",2/29/2020,Flatlanders Canyon Crash Trail Run 5k/10k/ 13.1/50k,https://www.facebook.com/pages/Flatlanders-Canyon-Crash-Trail-run-5k10k131-mile50k/1400506646859632?sk=info&ref=page_internal,GA,32.0624,-84.9185
59,Fayetteville,5K,2/29/2020,Run the Ridge 5K,https://sctlandtrust.org,GA,33.4371,-84.4886
60,Rising Fawn,"100 Miler, 50 Miler",3/6/2020,Chattanooga 100 Mile / 50  Mile,https://www.runbumtours.com,Ga,35.0604,-85.3077
61,Laurel,"50 Miler, 50K, 20K",3/7/2020,Mississippi Trail 50,http://www.ms50.com/,MS,31.5701,-88.9871
62,Decatur,"50 Mile Solo, 12 Hour Solo, 12 Hour Relay",3/7/2020,Delano Park,http://www.delano12.com/,AL,34.5973,-86.9754
63,lithia springs,"1/2 Marathon, 5 Miler",3/7/2020,The Georgia Yeti NIGHTMARE,http://www.RunBumtours.com,GA,33.7532,-84.6333
64,Conyers,"8hrs, 5K",3/7/2020,The Austin Taylor Challenge Trail Run Series,http://www.atcultra.org/,GA,33.671,-83.9403
65,Lithia Springs,"11hrs, 7hrs",3/14/2020,Yeti 7/11 Hour Endurance Run,http://www.yetitrailrunners.com,GA,33.7655,-84.6469
66,Beersheba Springs,Marathon,3/21/2020,Savage Gulf Marathon,http://www.facebook.com/savagegulfmarathon,TN,35.4462,-85.6552
67,Dawsonville,15K,3/21/2020,Mountain Madness at Fausett Farms,https://www.facebook.com/mtnmadnesstrailrun/,GA,34.5257,-84.2539
68,Alexander City,"100 Miler, 50 Miler, 27 Miler",3/28/2020,Lake Martin 100,http://www.southeasterntrailruns.com/lake-martin-100.html,AL,32.7637,-85.9453
69,Evergreen,"24hrs, 12hrs, 6hrs, 3hrs",4/4/2020,Trap Trail 24,https://www.facebook.com/traildancersrunningseries/,AL,31.4425,-86.9531
70,Pellham,"Long Races, Short Races",4/14/2020,Full Southeastern Trail Series - Long Series and Short Series,http://www.southeasterntrailruns.com/SoutheasternTrailSeries.html,AL,33.3491,-86.7293
71,Chatsworth,"100 Miler, 100K, 72hrs, 50K",4/16/2020,Double Top 100 Stone Anvil,https://www.facebook.com/events/893649490684350/,GA,34.7583,-84.7074
72,Albany,Last Person Standing,4/17/2020,Backyard Soul Survivor,https://www.facebook.com/Goodlifecityrunners/,GA,31.6026,-84.2081
73,Lithia Springs,"50K, 32k",4/18/2020,SweetH2O 50K,http://www.dcroguerunners.com/,GA,33.7578,-84.6421
74,Ellijay,"8 Miler, 50K, 25K, 7 Miler",4/24/2020,Creek to Peak Spring Trail Days,https://www.facebook.com/runthecohuttas,GA,34.7983,-84.6116
75,Wartrace,"40 Miler, Marathon, 1/2 Marathon, 10K",5/2/2020,Strolling Jim&#0153,http://www.sj40mile.com,TN,35.5276,-86.3335
76,Blairsville,100 Miler,5/15/2020,Cruel Jewel 100,http://www.dumassevents.com/,GA,34.8241,-84.3205
77,Blue Ridge,50 Miler,5/16/2020,Cruel Jewel 50,http://www.dumassevents.com/,GA,34.8241,-84.32
78,Oneonta,5K,5/30/2020,Race to the Tower Trail Run,https://www.facebook.com/racetothetowertrailrun,AL,33.9886,-86.4583
79,Lookout Mountain,"Main House, Camping, Locals",6/4/2020,Chattanooga Women’s Running Summit,http://races.rockcreek.com/,GA,34.9329,-85.3897
80,Dahlonega,"48 Hour, 24 Hour, 12 Hour, 6 Hour",7/3/2020,Merrill's Mile,http://www.dumassevents.com/merrills-mile.html,GA,34.6281,-84.102
81,Chattanooga,Camp,7/24/2020,SheVentures Camp,http://www.sheventuresearth.com,TN,35.0178,-85.2064
82,West Point Lake,"50K, Last Man Standing, 24 Hours - 6 Person Relay, 10K, 5K",7/25/2020,Last at the Lake,https://www.facebook.com/Last-at-the-Lake-173218186780338/,GA,32.9179,-85.1792
83,Columbus,"50 Miler, 50K",8/22/2020,Southern Fried 50/50,http://www.Project42Running.com,GA,32.5553,-84.8623
84,Lithia Springs,"50K, 11 Miler",9/13/2020,The Yeti Snakebite 50/50,http://yetitrailrunners.com/snake-bite-5050/,GA,33.752,-84.6315
85,Palmer,"36hrs, 24hrs, 12hrs",11/29/2019,Boycott Black Friday,https://happymalamuterunning.com/boycott-black-friday,AK,61.6086,-149.09
86,Big Lake,"100 Mile Bike, 100 Mile Ski, 100 Mile Run",2/15/2020,Susitna 100,http://www.susitna100.com/,AK,61.5503,-149.938
87,Willow,"Marathon, Relay",7/11/2020,Hatcher Pass Marathon,https://www.happymalamuterunning.com/hatcher-pass-marathon,AK,61.7741,-149.91
88,Scottsdale,"75K, 50K, 25K, 15K, 7K",9/28/2019,Javelina Jangover Night Runs,https://www.aravaiparunning.com/insomniac/jangover/,AZ,33.6671,-111.7
89,Flagstaff,"50 Miler, 50K, 25K, 10K, 5K",10/5/2019,Flagstaff Sky Peaks,https://aravaiparunning.com/network/flagstaff/,AZ,35.3309,-111.71
90,Cave Creek,"50K, 24K, 11K, 5K",10/12/2019,Cave Creek Thriller,http://www.aravaiparunning.com/cave-creek-thriller/,AZ,33.822,-112.017
91,Navajo Reservation,55K,10/12/2019,Canyon De Chelly Ultra,http://canyondechellyultra.com/,AZ,36.1522,-109.545
92,Cave Creek,"33K, 20K, 11K, 5K",10/12/2019,Thrasher Night Runs,http://aravaiparunning.com/insomniac/thrasher/,AZ,33.8294,-112.004
93,Cave Creek,"Resolution Pass, Hawk Ultra Series Plus Pass, Hawk Ultra Series Pass, Owl Series Pass, Roadrunner",10/12/2019,DRT Fall Series Pass,http://www.aravaiparunning.com/desert-runner-trail-series/,AZ,33.8334,-111.951
94,Superior,"12 Miler, 6 Miler",10/12/2019,Superior Burro Run,https://www.facebook.com/ArizonaBurroCross/,AZ,33.2937,-111.097
95,Willcox,"30K, 13K",10/19/2019,Boulder Dash 13K/30K,http://www.rocamotionevents.com,AZ,32.0032,-109.352
96,Fountain Hills,"100 Miler, 100K, Jackass 31K, Jackass 31K Wave 2",10/26/2019,Javelina Jundred,http://www.javelinajundred.com,AZ,33.6904,-111.718
97,Vail,"50 Miler, 55K, 13 Miler",11/9/2019,Colossal-Vail 50/50,https://runazt.org/colossal-vail-50-50/,AZ,32.0498,-110.638
98,PHOENIX,50K,11/9/2019,Phoenix Mountain Preserve Fat Ass 50K,http://facebook.com/phoenixmountainfatass50k,AZ,33.5427,-112.015
99,Mesa,"50K, 25K, 10K, 5K",11/16/2019,Pass Mountain,http://www.aravaiparunning.com/pass-mountain/,AZ,33.4792,-111.619
100,Mesa,"30K, 20K, 10K, 5K",11/16/2019,Punisher Night Runs,http://aravaiparunning.com/insomniac/punisher/,AZ,33.4792,-111.619
101,Mesa,"100 Mile 2 Person Relay, 100 Mile 3 Person Relay, 100 Mile 4 Person Relay, 50 Miler, 30 Miler, 18",11/17/2019,Tonto Mountain Rides,http://www.aravaiparides.com/tonto,AZ,33.4152,-111.831
102,Buckeye,"48hrs, 24hrs, 24 Hours - 2 Person Relay, 24 Hours - 3 Person Relay, 12hrs",11/29/2019,Fat Ox,https://www.aravaiparunning.com/fat-ox/,AZ,33.3951,-112.478
103,Fountain Hills,"50 Miler, 50K, 25K, 10 Miler, 5 Miler",12/7/2019,McDowell Mountain Frenzy,http://www.aravaiparunning.com/mcdowell-mountain-frenzy/,AZ,33.6674,-111.7
104,Fort McDowell,"25K, 10 Miler, 5 Miler",12/7/2019,Mayhem Night Runs,https://www.aravaiparunning.com/insomniac/mayhem/,AZ,33.6674,-111.698
105,Fountain Hills,"100 Miler, 100 Mile 2 Person Relay, 100 Mile 3 Person Relay, 100 Mile 4 Person Relay, 50 Miler, 25",12/8/2019,Frenzy Hills Rides,http://www.aravaiparides.com/frenzy,AZ,33.6042,-111.726
106,Phoenix,24hrs,12/14/2019,Desert Solstice,http://www.aravaiparunning.com/avr/desert-solstice/,AZ,33.5027,-112.073
107,Phoenix,"6 Day, 72hrs, 48hrs, 24hrs, 10 Day, 10 Day 550 Mile, 10 Day 550K, 10 Day Ultra, 10 Day Mar., 24Hrs",12/28/2019,Across the Years,https://www.aravaiparunning.com/across-the-years/,AZ,33.5138,-112.293
108,Queen Creek,"50K, 26K, 17K, 9K, 5K, Kids Run",1/4/2020,San Tan Scramble,http://www.aravaiparunning.com/san-tan-scramble/,AZ,33.1677,-111.636
109,Queen Creek,"Mini Series, Phoenix Series, Short Series, Middle Series, Trail Series, Ultra Series, Ultra Plus S",1/4/2020,DRT Spring Series Pass,http://www.aravaiparunning.com/,AZ,33.1536,-111.648
110,Superior,36 Hours -  Relay,1/10/2020,TPK Endurance,http://twopunkkids.com,AZ,33.2937,-111.095
111,Goodyear,"100 Miler, 52 Miler, 52K, 20 Miler, 20K, 4 Miler",1/18/2020,Coldwater Rumble,http://www.aravaiparunning.com/coldwater-rumble/,AZ,33.3702,-112.373
112,Oracle,"50 Miler, 50 Mile - 2 Person Relay, 50K, 1/2 Marathon, 12K",1/25/2020,AZT Oracle Rumble,https://runazt.org/oracle-rumble/,AZ,32.6103,-110.74
113,Cave Creek,"50K, 35K, 22K, 12K, 6K",2/1/2020,Elephant Mountain,http://www.aravaiparunning.com/elephant-mountain/,AZ,33.8288,-112.004
114,Fountain Hills,"50K, 25K",2/8/2020,Pemberton Trail,http://bquickrunning.com/,AZ,33.6904,-111.718
115,Mayer,"100K, Charity 100K, 60K",2/15/2020,Black Canyon Ultras,http://www.aravaiparunning.com/black-canyon/,AZ,34.3488,-112.16
116,Fountain Hill,14K,2/22/2020,Stoneman Trail Run,http://www.bquickrunning.com/stoneman-trail-run/,AZ,33.6642,-111.747
117,Sonoita,"100 Miler, 75 Miler, 50 Miler, 25 Miler",3/7/2020,Old Pueblo Endurance Runs,http://www.oldpueblo50.com/,AZ,31.7387,-110.687
118,Waddell,"50 Miler, 50K, 30K, 1/2 Marathon, 8K, Kid's Fun Run",3/7/2020,Mesquite Canyon,http://www.aravaiparunning.com/mesquite-canyon/,AZ,33.6046,-112.504
119,Fountain Hills,"30K, 10K",3/8/2020,Snakebite,http://www.bquickrunning.com/snakebite/,AZ,33.6594,-111.773
120,Morristown,"40K, 26K, 13K, 4 Miler, 2 Miler",3/22/2020,Dam Good Run,http://www.aravaiparunning.com/dam-good-run/,AZ,33.9223,-112.316
121,Phoenix,50K,3/28/2020,Crown King Scramble,https://www.aravaiparunning.com/crown-king/,AZ,33.9055,-112.309
122,Prescott,"88K, 60K, 33K, 1/2 Marathon, 10K",4/18/2020,Whiskey Basin Trail Runs,http://www.aravaiparunning.com/whiskey-basin,AZ,34.6208,-112.567
123,Queen Creek,"7 Miler, 9hrs, 9 Hours 2 Person Relay, 9 Hours 3 Person Relay, 6 Hours - 2 Person Relay, 6hrs, 3hr",4/24/2020,Sinister Night Rides,https://www.aravaiparides.com/sinister/,AZ,33.1686,-111.634
124,Pine,100K,4/25/2020,Zane Grey Highline Trail 100K,http://www.zanegrey50.com,AZ,34.3742,-111.443
125,Queen Creek,"54K, 27K, 18K - 7:30 PM, 9K 8PM, 5K",4/25/2020,Sinister Night Runs,https://www.aravaiparunning.com/insomniac/sinister/,AZ,33.1681,-111.635
126,Fort McDowell,"9.5 Miler Bike, 9hrs, 9 Hours 2 Person Relay, 9 Hours 3 Person Relay, 6 Hour Duo Bike, 6hrs Bike,",5/15/2020,Adrenaline Night Rides,http://www.aravaiparides.com/adrenaline,AZ,33.6042,-111.726
127,Fountain Hills,"50K, 25K, 15K Full Moon, 15K, 10K Full Moon, 10K, 6K",5/16/2020,Adrenaline Night Runs,https://www.aravaiparunning.com/insomniac/adrenaline/,AZ,33.6674,-111.698
128,Flagstaff,"27K, 13K, 6K",6/12/2020,Blackout Night Runs,http://aravaiparunning.com/insomniac/blackout,AZ,35.1448,-111.691
129,Flagstaff,"54K, 27K, 13K, 6K",6/13/2020,Flagstaff Extreme Big Pine,http://www.aravaiparunning.com/big-pine/,AZ,35.1448,-111.691
130,Avondale,"7 Miler, 6hrs Bike, 6Hrs - 2 Per Relay Bike, 3hrs Bike",6/19/2020,Hypnosis Night Rides,http://www.aravaiparides.com/hypnosis,AZ,33.4356,-112.35
131,Avondale,"54K, 34K, 20K, 14K, 6K, 5K",6/20/2020,Hypnosis Night Runs,http://aravaiparunning.com/network/insomniac/hypnosis/#Hypnosis,AZ,33.3662,-112.315
132,Waddell,"7 Miler Bike, 6hrs- 2 Per Relay Bike, 6hrs Bike, 3hrs Bike",8/14/2020,Vertigo Night Rides,http://www.aravaiparides.com/vertigo,AZ,33.5758,-112.45
133,Waddell,"52K, 31K, 20K Full Moon, 20K, 10K Full Moon, 10K, 6K",8/15/2020,Vertigo Night Runs,https://www.aravaiparunning.com/insomniac/vertigo/,AZ,33.567,-112.498
134,Fountain Hills,"15.5 Miler Bike, 12Hr - 4 Per Relay Bike, 12Hr - 3 Per Relay Bike, 12Hr - 2 Per Relay Bike, 12hrs",9/25/2020,Jangover Night Rides,http://www.aravaiparides.com/jangover,AZ,33.6042,-111.726
135,Tahlequah,"100 Miler, 100K, 50K, 25K, 10 Miler",10/19/2019,Pumpkin Holler Hunnerd,https://www.ph100.run/,OK,36.0338,-94.9151
136,Lakeview,"10K, 5K",10/19/2019,Big Bluff Challenge,http://natureswaymountainhome.com/,AR,36.3594,-92.5785
137,Memphis,"18 Miler, 8 Miler",10/26/2019,Wade’s Big Adventure!,https://fleetfeetsports.wordpress.com/wades/,TN,35.1327,-89.8539
138,Mountainburg,"50 Miler, 50K, 10 Miler",11/9/2019,Razorback Running Revival,http://humanpotentialrunning.com/razorback/,AR,35.6938,-94.119
139,Mountain Home,"5K, 50K, 25K, 7K",1/17/2020,Davids Trail Endurance Run,http://www.davidstrailendurancerun.com/,AR,36.3591,-92.2519
140,Millington,"50K, 25K",1/18/2020,Swamp Stomper 50k/25k,https://ultrasignup.com/register.aspx?did=61273,TN,35.3061,-90.0674
141,Big Cedar,"50K, 25K",1/18/2020,Ouachita Switchbacks,http://ouachitaswitchbacks.blogspot.com/,OK,34.6865,-94.6259
142,Wynne,"25K, 10K",1/25/2020,Village Creek 10k/25k Trail Run,https://www.facebook.com/VillageCreekmuckas/,AR,35.1682,-90.7214
143,Wilburton,"135 Miler, 100 Mile -  Relay, 100 Miler, 50 Miler, Marathon, 1/2 Marathon, Virtual 5K, 5K Saturday",2/15/2020,Outlaw 100 Oklahoma,https://www.facebook.com/Outlaw-100-2675489962719524/,OK,34.9775,-95.3537
144,Millington,"Marathon, 1/2 Marathon",2/23/2020,Shelby Forest Loop,http://altisendurance.com/public_html/Forest_Loop_26.2.html,TN,35.3377,-90.0388
145,Hot Springs,"100 Miler, 100K",2/28/2020,Run Lovit,http://runlovit.com/,AR,34.5762,-93.4313
146,Norfork,"50K, 21 Miler",3/7/2020,Ozark Highlands Endurance Run,http://www.ozarkhighlandsendurancerun.com/,AR,36.2152,-92.2856
147,Morrilton,20K,4/25/2020,Hoof it for Heifer,http://www.heifertrailrun.com,AR,35.1277,-92.9245
148,Multiple,326 Miler,6/18/2020,The Last Annual Heart of the South Road Race,http://vacationwithoutacar.com/,AR,35.1354,-90.086
149,Wilburton,"50K, 25K, 10K, Virtual Runner, 5K",7/11/2020,Dark and Dirty Miles,https://www.facebook.com/RobbersCaveOutlaw100,OK,34.9821,-95.3541
150,Bridgeport,Half Marathon,9/28/2019,Ridge Rambler Half Marathon,https://www.facebook.com/events/109677766510882/,CA,38.1655,-119.326
151,Santa Maria,"48hrs, 24hrs, 12hrs, 6hrs, 3hrs",10/4/2019,Back On The Ranch Trail Run,http://www.allwedoisrun.com,CA,34.8852,-120.411
152,Saratoga,"50K, Marathon, 1/2 Marathon",10/5/2019,Skyline to the Sea,http://www.pacificcoasttrailruns.com,CA,37.2585,-122.122
153,Castro Valley,"100K, 50 Miler, Marathon",10/5/2019,Dick Collins 50mile/Bay Ridge 100k,http://scenaperformance.com/events/dick-collins-firetrails/,CA,37.7105,-122.055
154,Newbury Park,"Marathon, 1/2 Marathon, 6.5 Miler",10/5/2019,Hiawatha Trail Races,https://www.socalultrarunning.com/hiawatha.html,CA,34.1558,-118.981
155,Monrovia,"30K, 13 Miler",10/5/2019,Monrovia Canyon Trail Runs,http://www.monroviacanyontrailruns.com,CA,34.175,-117.987
156,South Lake Tahoe,"1/2 Marathon, 10K, 5K, 1/2 Mile",10/6/2019,Kokanee Trail Runs,http://www.tahoemtnmilers.org/kokanee-5k--10k--half-marathon.html,CA,38.9323,-120.058
157,Santa Barbara,"100 Miler, 100K",10/11/2019,Santa Barbara 100®,http://sbendurance.run/,CA,34.4369,-119.715
158,San Francisco,Ultra Distance,10/12/2019,Ruth Anderson Memorial Endurance Run,http://www.run100s.com/ra.htm,CA,37.7282,-122.493
159,Folsom,"5K Women, 5K Open Men, 5K Masters Men",10/12/2019,Willow Hills XC,http://www.chipsrunning.com/willow-hills-xc/,CA,38.6469,-121.155
160,Santa Barbara,"Marathon, Heavy Half",10/12/2019,Santa Barbara Endurance Run™,http://www.sbendurance.run,CA,34.4369,-119.715
161,Santa Barbara,"50 Miler, 50K",10/12/2019,Santa Barbara 50™,http://www.sbendurance.run,CA,34.4369,-119.715
162,,100 Miler,10/12/2019,HIGHLANDER 100 - There can be only 1,https://highlander100.myfreesites.net/,CA,34.2684,-117.625
163,OJAI,100 Miler,10/12/2019,C2M,https://www.facebook.com/events/358238371782563/,CA,34.448,-119.243
164,Various Locations,200 Miler Slam,10/17/2019,Triple Crown of 200s,http://www.grandslam200.com/home.html,,38.9501,-119.952
165,Oakland,"35K, 1/2 Marathon, 10K",10/19/2019,Oakland Hills Trail Run,http://insidetrail.com/calendar/oakland-hills-trail-run/,CA,37.8019,-122.144
166,Los Angeles (Simi Valley),"50K, 30K, 15K",10/19/2019,Rocky Peak Trail Races,http://www.trailrunevents.com/rocky-peak-3050.html,CA,34.2668,-118.649
167,Norco,"100 Miler, 50 Miler",10/19/2019,Saddle2Surf 100/50,https://100mileclub.com/saddle2surf/,CA,33.9324,-117.564
168,Cupertino,"1/2 Marathon, 10K",10/19/2019,Stevens Creek Striders Reservoir Run,http://stevenscreekstriders.com/,CA,37.3064,-122.075
169,Silverado,"50 Miler, 50K, 30K",10/19/2019,That's No Moon Ultras & 30K,http://dirtyfeet.us/trailraces/nomoon/,CA,33.7649,-117.678
170,Sausalitio,60K,10/19/2019,Marine Mammals 60K YMMV,https://www.facebook.com/events/702129766878788/,CA,37.8591,-122.485
171,San Francisco,"50K, 26.2M, 13.1M, 10M, 10K, 5K, 2hrs",10/26/2019,PINKATHON SF - Run for Breast Cancer,http://pinkathon.org/,CA,37.7962,-122.394
172,Los Altos,"50K, Marathon, 1/2 Marathon, 10K",10/26/2019,Vista Verde Skyline Run,http://baytrailrunners.com/vista-verde,CA,37.3112,-122.174
